YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,Montana,Associate degree in college - occupation/vocation program,71
2012,Montana,Bachelor's degree,278
2012,Montana,Children,455
2012,Montana,Doctorate degree,24
2012,Montana,High school graduate - high school diploma or equivalent,398
2012,Montana,Less than 1st grade,1
2012,Montana,Master's degree,74
2012,Montana,Professional school degree,16
2012,Montana,Some college but no degree,284
2012,Nebraska,10th grade,93
2012,Nebraska,11th grade,88
2012,Nebraska,12th grade no diploma,16
2012,Nebraska,"1st,2nd,3rd,or 4th grade",27
2012,Nebraska,5th or 6th grade,42
2012,Nebraska,7th and 8th grade,72
2012,Nebraska,9th grade,79
2012,Nebraska,Associate degree in college - academic program,122
2012,Nebraska,Associate degree in college - occupation/vocation program,111
2012,Nebraska,Bachelor's degree,448
2012,Nebraska,Children,896
2012,Nebraska,Doctorate degree,31
2012,Nebraska,High school graduate - high school diploma or equivalent,653
2012,Nebraska,Less than 1st grade,9
2012,Nebraska,Master's degree,128
2012,Nebraska,Professional school degree,28
2012,Nebraska,Some college but no degree,479
2012,Nevada,10th grade,86
2012,Nevada,11th grade,113
2012,Nevada,12th grade no diploma,85
2012,Nevada,"1st,2nd,3rd,or 4th grade",28
2012,Nevada,5th or 6th grade,49
2012,Nevada,7th and 8th grade,51
2012,Nevada,9th grade,79
2012,Nevada,Associate degree in college - academic program,122
2012,Nevada,Associate degree in college - occupation/vocation program,83
2012,Nevada,Bachelor's degree,363
2012,Nevada,Children,704
2012,Nevada,Doctorate degree,17
2012,Nevada,High school graduate - high school diploma or equivalent,694
2012,Nevada,Less than 1st grade,2
2012,Nevada,Master's degree,115
2012,Nevada,Professional school degree,27
2012,Nevada,Some college but no degree,498
2012,New Hampshire,10th grade,110
2012,New Hampshire,11th grade,96
2012,New Hampshire,12th grade no diploma,28
2012,New Hampshire,"1st,2nd,3rd,or 4th grade",2
2012,New Hampshire,5th or 6th grade,5
2012,New Hampshire,7th and 8th grade,62
2012,New Hampshire,9th grade,106
2012,New Hampshire,Associate degree in college - academic program,187
2012,New Hampshire,Associate degree in college - occupation/vocation program,118
2012,New Hampshire,Bachelor's degree,680
2012,New Hampshire,Children,785
2012,New Hampshire,Doctorate degree,28
2012,New Hampshire,High school graduate - high school diploma or equivalent,766
2012,New Hampshire,Less than 1st grade,4
2012,New Hampshire,Master's degree,245
2012,New Hampshire,Professional school degree,29
2012,New Hampshire,Some college but no degree,473
2012,New Jersey,10th grade,136
2012,New Jersey,11th grade,112
2012,New Jersey,12th grade no diploma,60
2012,New Jersey,"1st,2nd,3rd,or 4th grade",24
2012,New Jersey,5th or 6th grade,39
2012,New Jersey,7th and 8th grade,85
2012,New Jersey,9th grade,91
2012,New Jersey,Associate degree in college - academic program,125
2012,New Jersey,Associate degree in college - occupation/vocation program,65
2012,New Jersey,Bachelor's degree,713
2012,New Jersey,Children,889
2012,New Jersey,Doctorate degree,39
2012,New Jersey,High school graduate - high school diploma or equivalent,909
2012,New Jersey,Less than 1st grade,19
2012,New Jersey,Master's degree,256
2012,New Jersey,Professional school degree,49
2012,New Jersey,Some college but no degree,487
2012,New Mexico,10th grade,54
2012,New Mexico,11th grade,66
2012,New Mexico,12th grade no diploma,43
2012,New Mexico,"1st,2nd,3rd,or 4th grade",17
2012,New Mexico,5th or 6th grade,24
2012,New Mexico,7th and 8th grade,53
2012,New Mexico,9th grade,77
2012,New Mexico,Associate degree in college - academic program,66
2012,New Mexico,Associate degree in college - occupation/vocation program,56
2012,New Mexico,Bachelor's degree,222
2012,New Mexico,Children,418
2012,New Mexico,Doctorate degree,18
2012,New Mexico,High school graduate - high school diploma or equivalent,393
2012,New Mexico,Less than 1st grade,4
2012,New Mexico,Master's degree,116
2012,New Mexico,Professional school degree,26
2012,New Mexico,Some college but no degree,258
2012,New York,10th grade,267
2012,New York,11th grade,294
2012,New York,12th grade no diploma,153
2012,New York,"1st,2nd,3rd,or 4th grade",68
2012,New York,5th or 6th grade,128
2012,New York,7th and 8th grade,228
2012,New York,9th grade,189
2012,New York,Associate degree in college - academic program,372
2012,New York,Associate degree in college - occupation/vocation program,195
2012,New York,Bachelor's degree,1161
2012,New York,Children,1776
2012,New York,Doctorate degree,76
2012,New York,High school graduate - high school diploma or equivalent,1951
2012,New York,Less than 1st grade,39
2012,New York,Master's degree,601
2012,New York,Professional school degree,110
2012,New York,Some college but no degree,1003
2012,North Carolina,10th grade,123
2012,North Carolina,11th grade,139
2012,North Carolina,12th grade no diploma,39
2012,North Carolina,"1st,2nd,3rd,or 4th grade",28
2012,North Carolina,5th or 6th grade,43
2012,North Carolina,7th and 8th grade,89
2012,North Carolina,9th grade,125
2012,North Carolina,Associate degree in college - academic program,142
2012,North Carolina,Associate degree in college - occupation/vocation program,138
2012,North Carolina,Bachelor's degree,498
2012,North Carolina,Children,958
2012,North Carolina,Doctorate degree,49
2012,North Carolina,High school graduate - high school diploma or equivalent,842
2012,North Carolina,Less than 1st grade,7
2012,North Carolina,Master's degree,182
2012,North Carolina,Professional school degree,44
2012,North Carolina,Some college but no degree,553
2012,North Dakota,10th grade,60
2012,North Dakota,11th grade,64
2012,North Dakota,12th grade no diploma,21
2012,North Dakota,5th or 6th grade,3
2012,North Dakota,7th and 8th grade,58
2012,North Dakota,9th grade,44
2012,North Dakota,Associate degree in college - academic program,138
2012,North Dakota,Associate degree in college - occupation/vocation program,139
2012,North Dakota,Bachelor's degree,370
2012,North Dakota,Children,534
2012,North Dakota,Doctorate degree,18
2012,North Dakota,High school graduate - high school diploma or equivalent,442
2012,North Dakota,Master's degree,95
2012,North Dakota,Professional school degree,22
2012,North Dakota,Some college but no degree,316
2012,Ohio,10th grade,155
2012,Ohio,11th grade,156
2012,Ohio,12th grade no diploma,55
2012,Ohio,"1st,2nd,3rd,or 4th grade",4
2012,Ohio,5th or 6th grade,16
2012,Ohio,7th and 8th grade,104
2012,Ohio,9th grade,99
2012,Ohio,Associate degree in college - academic program,185
2012,Ohio,Associate degree in college - occupation/vocation program,149
2012,Ohio,Bachelor's degree,526
2012,Ohio,Children,1156
2012,Ohio,Doctorate degree,31
2012,Ohio,High school graduate - high school diploma or equivalent,1273
2012,Ohio,Less than 1st grade,9
2012,Ohio,Master's degree,197
2012,Ohio,Professional school degree,33
2012,Ohio,Some college but no degree,692
2012,Oklahoma,10th grade,65
2012,Oklahoma,11th grade,79
2012,Oklahoma,12th grade no diploma,30
2012,Oklahoma,"1st,2nd,3rd,or 4th grade",5
2012,Oklahoma,5th or 6th grade,22
2012,Oklahoma,7th and 8th grade,35
2012,Oklahoma,9th grade,50
2012,Oklahoma,Associate degree in college - academic program,98
2012,Oklahoma,Associate degree in college - occupation/vocation program,58
2012,Oklahoma,Bachelor's degree,281
2012,Oklahoma,Children,624
2012,Oklahoma,Doctorate degree,21
2012,Oklahoma,High school graduate - high school diploma or equivalent,565
2012,Oklahoma,Less than 1st grade,1
2012,Oklahoma,Master's degree,99
2012,Oklahoma,Professional school degree,27
2012,Oklahoma,Some college but no degree,395
2012,Oregon,10th grade,63
2012,Oregon,11th grade,86
2012,Oregon,12th grade no diploma,32
2012,Oregon,"1st,2nd,3rd,or 4th grade",14
2012,Oregon,5th or 6th grade,28
2012,Oregon,7th and 8th grade,39
2012,Oregon,9th grade,43
2012,Oregon,Associate degree in college - academic program,106
2012,Oregon,Associate degree in college - occupation/vocation program,78
2012,Oregon,Bachelor's degree,354
2012,Oregon,Children,580
2012,Oregon,Doctorate degree,35
2012,Oregon,High school graduate - high school diploma or equivalent,511
2012,Oregon,Less than 1st grade,5
2012,Oregon,Master's degree,180
2012,Oregon,Professional school degree,17
2012,Oregon,Some college but no degree,484
2012,Pennsylvania,10th grade,170
2012,Pennsylvania,11th grade,205
2012,Pennsylvania,12th grade no diploma,46
2012,Pennsylvania,"1st,2nd,3rd,or 4th grade",13
2012,Pennsylvania,5th or 6th grade,26
2012,Pennsylvania,7th and 8th grade,149
2012,Pennsylvania,9th grade,153
2012,Pennsylvania,Associate degree in college - academic program,198
2012,Pennsylvania,Associate degree in college - occupation/vocation program,168
2012,Pennsylvania,Bachelor's degree,772
2012,Pennsylvania,Children,1334
2012,Pennsylvania,Doctorate degree,51
2012,Pennsylvania,High school graduate - high school diploma or equivalent,1607
2012,Pennsylvania,Less than 1st grade,7
2012,Pennsylvania,Master's degree,279
2012,Pennsylvania,Professional school degree,52
2012,Pennsylvania,Some college but no degree,662
2012,Rhode Island,10th grade,129
2012,Rhode Island,11th grade,112
2012,Rhode Island,12th grade no diploma,52
2012,Rhode Island,"1st,2nd,3rd,or 4th grade",31
2012,Rhode Island,5th or 6th grade,40
2012,Rhode Island,7th and 8th grade,73
2012,Rhode Island,9th grade,106
2012,Rhode Island,Associate degree in college - academic program,110
2012,Rhode Island,Associate degree in college - occupation/vocation program,78
2012,Rhode Island,Bachelor's degree,446
2012,Rhode Island,Children,731
2012,Rhode Island,Doctorate degree,34
2012,Rhode Island,High school graduate - high school diploma or equivalent,689
2012,Rhode Island,Less than 1st grade,9
2012,Rhode Island,Master's degree,197
2012,Rhode Island,Professional school degree,29
2012,Rhode Island,Some college but no degree,394
2012,South Carolina,10th grade,93
2012,South Carolina,11th grade,82
2012,South Carolina,12th grade no diploma,22
2012,South Carolina,"1st,2nd,3rd,or 4th grade",10
2012,South Carolina,5th or 6th grade,24
2012,South Carolina,7th and 8th grade,56
